"id","clay","X","Y","soil"
"P0532",14.1188888313137,20.88029674,41.80435196,"Complex of Chromic Luvisol on saprolite and Regosol"
"P0534",15.0176708200554,20.89737345,41.81936051,"Fluvisol"
"P0535",9.89471889992771,20.91441243,41.80540893,"Populated Site"
"P0536",12.9648446120084,20.90297053,41.83541085,"Fluvisol"
"P0541",4.98631223258587,20.90708812,41.87709445,"Fluvisol"
"P0543",17,20.85450587,41.95903074,"Complex of Mollic and Umbric Leptosol"
"P0544",6.77564102564103,20.86522986,41.95344335,"Complex of Mollic and Umbric Leptosol"
"P0545",1,20.88444838,41.95159147,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol"
"P0546",2,20.89808718,41.93845853,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol"
"P0548",6.27059037900875,20.90461881,41.91725064,"Fluvisol"
"P0549",6.86470481049563,20.89056845,41.88533667,"Fluvisol"
"P0551",5,20.86488652,41.88179772,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol"
"P0553",4,20.84153826,41.86137355,"Cambisol"
"P0554",6,20.85883435,41.85609267,"Complex of Cambisol, Mollic and Umbric Leptosol and Leptosol"
"P0556",2,20.8442045,41.83477891,"Cambisol"
"P0569",27.6011335342681,21.01034098,41.89225847,"Chromic Luvisol on saprolite"
"P0574",15.3914391860395,21.06289117,41.9505159,"Chromic Luvisol on saprolite"
"P0580",8.78801480955621,20.75843706,41.70517609,"Cambisol"
"P0584",5,20.59580707,41.66058862,"Complex of Rendzic Leptosol and Chromic Luvisol on hard limestones"
"P0585",4,20.58391998,41.62509566,"Chromic Luvisol on saprolite"
"P0590",15,20.71700875,41.63344229,"Rendzic Leptosols"
"P0597",2,20.63340957,41.5384782,"Chromic Luvisol on saprolite"
"P0598",2.46462264150943,20.68073111,41.55441341,"Chromic Luvisol on saprolite"
"P0601",1.52486187845304,20.6965263,41.55797698,"Chromic Luvisol on saprolite"
"P0609",7.97267322009643,20.79430147,41.59275305,"Complex of Mollic and Umbric Leptosol"
"P0611",5.74011313439422,20.71170452,41.60092282,"Complex of Mollic and Umbric Leptosol"
"P0612",6.62241956415125,20.75604224,41.61707152,"Complex of Mollic and Umbric Leptosol"
"P0616",8.38559220819687,20.77621863,41.65019507,"Complex of Mollic and Umbric Leptosol"
"P0617",6.91144264996172,20.79780972,41.65621404,"Rendzic Leptosols"
"P0618",2.26168582375479,20.80681922,41.71092235,"Cambisol"
"P0620",7.41512345679012,20.84325651,41.67532039,"Chromic Luvisol on hard limestones"
"P0624",11,20.95587059,41.66567599,"Rendzic Leptosols"
"P0625",3,20.95942878,41.65977038,"Rendzic Leptosols"
"P0626",11.3868499718827,20.83410223,41.65291348,"Cambisol"
"P0628",5.51353497600985,20.87143024,41.63414193,"Cambisol"
"P0629",6.53980099502488,20.84392256,41.62828196,"Cambisol"
"P0630",8.59128891941392,20.87368273,41.61773821,"Cambisol"
"P0631",4,20.83525201,41.59271997,"Complex of Mollic and Umbric Leptosol"
"P0632",6.23044994857332,20.87197083,41.58535597,"Cambisol"
"P0633",8.44982415864798,20.88098619,41.5677977,"Cambisol"
"P0634",6.24721293199554,20.87237646,41.54988729,"Complex of Mollic and Umbric Leptosol"
"P0635",6.02391154153839,21.0037154,41.51523609,"Chromic Luvisol on saprolite"
"P0636",20.4150264824662,21.05843766,41.52312741,"Chromic Luvisol on saprolite"
"P0637",2,21.04428869,41.56085418,"Chromic Luvisol on saprolite"
"P0638",2.99378190367028,21.05936994,41.5730036,"Cambisol"
"P0639",18.9056395668659,21.05151277,41.5844162,"Cambisol"
"P0641",5,21.02013822,41.62297444,"Chromic Luvisol on saprolite"
"P0643",7.58919902912622,20.99373889,41.60540819,"Chromic Luvisol on saprolite"
"P0644",4,20.99462825,41.58650767,"Chromic Luvisol on saprolite"
"P0647",5.10407134384003,20.93593509,41.61877125,"Fluvisol"
"P0650",19.0689423771225,20.94583609,41.5885841,"Albic Luvisol"
"P0653",6.67596566523605,20.96996138,41.55155701,"Gleysol"
"P0655",11.9999895824646,20.95815547,41.53059051,"Fluvisol"
"P0656",5.77174451416821,20.98391807,41.53730547,"Fluvisol"
"P0657",10.7605964254681,21.00335741,41.54268232,"Fluvisol"
"P0659",10.3777927152173,21.01248406,41.57182964,"Fluvisol"
"P0660",8.29189975187149,21.00633414,41.58671473,"Fluvisol"
"P0661",11.2517507002801,21.02393008,41.58971994,"Chromic Luvisol on saprolite"
"P0663",6.95613283228315,21.01992727,41.60040911,"Chromic Luvisol on saprolite"
"P0683",2.46900826446281,21.15579028,41.59753189,"Cambisol"
"P0686",7.29545454545455,21.19204063,41.56082842,"Chromic Luvisol on saprolite"
"P0716",14.8533280715601,21.35697403,41.53058437,"Complex of Cambisol and Regosol"
"P0719",4,21.50727746,41.52552629,"Complex of Cambisol, Mollic and Umbric Leptosol and Regosol"
"P0721",11.2534925276153,21.52769312,41.55030514,"Complex of Cambisol, Mollic and Umbric Leptosol and Regosol"
"P0722",1.76030850499315,21.54829914,41.55177553,"Fluvisol"
"P0725",16.2767620561738,21.46702752,41.57700496,"Complex of Cambisol, Mollic and Umbric Leptosol and Regosol"
"P0727",1,21.5246201,41.61940196,"Complex of Cambisol, Mollic and Umbric Leptosol and Regosol"
"P0730",7.72454715512221,21.49465434,41.72575969,"Cambisol"
"P0731",9.95833333333333,21.53745892,41.73189749,"Cambisol"
"P0732",4,21.56492678,41.73197283,"Cambisol"
"P0733",16,21.61914436,41.73743821,"Complex of Cambisol and Mollic and Umbric Leptosol"
"P0734",12,21.63744747,41.73805847,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol"
"P0736",7,21.6034909,41.70776228,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol"
"P0739",29.0443788336538,21.68375301,41.69588627,"Complex of Chromic Luvisol on saprolite and Regosol"
"P0741",1,21.68402138,41.74386853,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol"
