"id","pH","X","Y","soil"
"P0491",3.63753320053121,20.80525991,41.94038253,"Complex of Mollic and Umbric Leptosol"
"P0492",4.85423951048951,20.80515026,41.9090483,"Complex of Mollic and Umbric Leptosol"
"P0493",5.6,20.8273163,41.90496892,"Complex of Mollic and Umbric Leptosol"
"P0495",4.05608695652174,20.78317992,41.8580007,"Complex of Mollic and Umbric Leptosol"
"P0496",4.19980102996255,20.79285517,41.83072694,"Complex of Mollic and Umbric Leptosol"
"P0501",5.60295363838438,21.03584231,41.98193339,"Fluvisol"
"P0502",6.42265029376168,20.9772397,41.98807742,"Fluvisol"
"P0504",7.48463938172388,20.94428693,41.9660875,"Fluvisol"
"P0505",6.52546455097955,20.95735447,41.94569905,"Fluvisol"
"P0506",7.03145234502584,20.94052674,41.94883397,"Fluvisol"
"P0508",6.5,20.92353181,41.90880998,"Fluvisol"
"P0509",5.80125145214643,20.90688471,41.89272541,"Fluvisol"
"P0512",6.79782153301454,21.00177532,41.97957994,"Fluvisol"
"P0515",6.50242977667404,20.97905944,41.95933712,"Fluvisol"
"P0517",7.60188181373124,21.00463289,41.94703047,"Fluvisol"
"P0522",6.91462232459765,20.9625973,41.91059415,"Fluvisol"
"P0526",7.314943543071,20.98131155,41.84812818,"Populated Site"
"P0530",7.75816478437957,20.9365904,41.81915474,"Fluvisol"
"P0531",7.38031118117507,20.88673018,41.78662013,"Complex of Chromic Luvisol on saprolite and Regosol"
"P0532",5.86541040552904,20.88029674,41.80435196,"Complex of Chromic Luvisol on saprolite and Regosol"
"P0534",5.50116951804232,20.89737345,41.81936051,"Fluvisol"
"P0535",6.99609350586872,20.91441243,41.80540893,"Populated Site"
"P0536",4.92997200927665,20.90297053,41.83541085,"Fluvisol"
"P0541",6.71305943895035,20.90708812,41.87709445,"Fluvisol"
"P0543",4.9,20.85450587,41.95903074,"Complex of Mollic and Umbric Leptosol"
"P0544",4.9,20.86522986,41.95344335,"Complex of Mollic and Umbric Leptosol"
