ProfID,x,y,soc_0_30,soc_30_60,soc_60_100,clay_0_30,clay_30_60,clay_60_100,ph_0_30,ph_30_60,ph_60_100,ocs_0_30,ocs_30_60,ocs_60_100
P3092,625626.9,4555727.8,0.4746873168117977,0.35766252371488766,0.32148986130617974,5.258651685393257,10.872584269662921,12.607865168539327,7.391981741573033,7.207774578651685,7.150835674157304,19.50508704176253,10.518700018763083,11.019283510776066
P3093,623470.3,4556189.9,1.3312745893939393,0.9584322878787879,NA,17.141341991341992,18.926839826839828,NA,8.356614718614718,8.642294372294373,NA,57.786142376165174,43.81071157252077,NA
P3094,624033.9,4555446,0.9464034185372572,0.7115275139562359,0.6937285395635561,12.686234411143225,13.34168538736109,8.9045886249209385,7.060376121712734,7.017218244374195,7.056077253844386,57.68059826089633,55.50771080939,50.099959346123796
P3095,624635,4555577.5,NA,NA,NA,11.39776246223565,19.506372734138974,21.712584969788523,NA,NA,NA,NA,NA,NA
P3096,628118,4555818,0.8574021739987865,0.7866175033373786,NA,9.097694174757281,10.84101941747573,NA,7.8209192961165055,7.881935679611652,NA,38.52560982939656,35.58929756870382,NA
P3097,627742.3,4556445.4,1.886664312729804,1.0387859439292775,1.2317920478475717,17.55559069639484,24.634497801384327,26.352504311963536,7.954195005736253,7.9892877095177575,7.783942893222508,146.46936681831707,44.69675959490799,72.20201591361969
P3099,629714.9,4557215.7,1.8743642422385622,1.3634442589869282,NA,24.88471200980392,21.268688725490197,NA,7.849095179738562,7.756376633986927,NA,90.90487936000264,115.36824765091598,NA
P3101,630596.4,4556840.6,0.9269156295575895,0.9533052878877349,1.0956154829141997,18.63504827554533,15.082170510452594,21.7392458491004,8.05889114116571,7.852749678530745,7.948206494599035,42.5936648599358,43.63815176120681,65.50652614806023
P3102,630998,4557147.1,2.106335934163701,1.1993512544483984,NA,12.39096975088968,11.532873665480425,NA,7.806365658362988,7.777762455516013,NA,82.64123702039501,52.92710172502653,NA
P3103,632507,4557140.8,0.5111015867088607,0.5100488229569993,0.4601160513250687,7.0989659924058435,12.411183426468186,13.437724046262856,6.336711973073438,6.321914210093521,6.125129550050076,38.07120287184687,39.16623281168543,48.7566187758949
P3104,631714.4,4556314.4,1.4666443578125,1.0874401718750004,NA,4.95376953125,13.1966796875,NA,6.69734765625,6.678398437499999,NA,56.952862707761966,47.17886653880362,NA
P3105,633574,4557903.2,0.5632470108855375,0.33947376231631854,0.22151470581979885,3,3,3,6.474312645011602,6.616029582366589,6.690733758700696,19.293092758460926,15.840057588474162,15.129227792209042
P3106,633133.1,4559020.3,0.8791929816025641,0.40093025089743584,0.10911746730769228,2.181195426195426,2.615155925155925,2.87993762993763,7.178804573804573,6.744844074844074,6.4800623700623685,38.81850702686303,19.151202821146196,7.273021594755885
P3108,633448.8,4560448.1,0.44794906943950175,0.45327737571174376,NA,2.5302046263345193,4.275533807829181,NA,6.593207295373665,6.56564946619217,NA,17.438259386742995,17.77478535070809,NA
P3109,633388.6,4561660.5,0.9102442533554571,0.6307003992771423,0.5115276566640466,7.238003100112638,4.9882812731755815,7.040159901076627,6.460306673245778,6.905235165057869,6.995353475839427,71.45207093297522,49.51737535893062,53.89839641005128
P3111,631950.9,4563058.2,NA,NA,NA,4.085677083333334,8.078906250000001,NA,NA,NA,NA,NA,NA,NA
P3112,630412.9,4562421.9,0.5600091190755209,0.48630999082031257,NA,2.3506510416666666,2.1691406250000003,NA,6.5193489583333335,6.700859375,NA,24.20043951244367,19.73964524435531,NA
P3114,630798.6,4560327.9,1.2120641085262709,0.7148577661977833,0.5190995861152239,10.538246511419212,7.2093776641091205,5.8987481491452405,7.633775481848187,7.5517281041668545,7.508739934447951,100.19179825901301,59.73735917521541,58.33990132979351
P3115,631226.1,4559299.2,1.8990684693933826,0.8288254351102943,NA,9.455381944444445,11.031597222222224,NA,7.962542892156863,8.018174019607844,NA,76.63423294902063,38.41103442444584,NA
P3117,629609.6,4558310.6,1.2499650937585356,0.8011435961712775,0.6995009582609746,11.447857488005374,7.718423923016084,5.689094688332531,7.9201690574438395,8.083518789573201,8.146276557555542,102.6959604705108,43.12667356061202,45.235475851354366
P3118,629529.5,4558958.5,0.6042516255123798,0.35954541145282304,0.4602700985448619,10.409028765453009,4.502085443309296,8.800724456044447,7.945466221658907,7.82508530044301,7.75965188069597,49.48076236078862,29.352015479232463,50.5468201501542
P3120,629843.4,4559372.7,0.5882098786729857,0.3695733502369668,NA,6.576983307193211,1.8691389747205998,2.1582071476070257,8.007178359527932,8.254842664774722,8.906498224529342,46.094527275142774,24.299978500726482,NA
P3121,630017.1,4560327.9,1.014748128359375,0.43220252890625005,NA,14.425449218750002,16.036132812500004,NA,7.49161328125,8.0032421875,NA,46.08153132986736,21.40060622409298,NA
P3122,629395.9,4559953.8,0.8062645,NA,NA,6,NA,NA,8.27,NA,NA,37.68027058824318,NA,NA
P3123,628667.8,4558183.7,0.937200889453125,0.6294409429687501,NA,5.62544921875,7.2361328125,NA,8.159060283051357,8.195088417092986,8.23637407535605,76.55585004404361,51.076055141734315,NA
P3124,627632.5,4561037.6,0.6242046649023438,0.5252818791015627,NA,4.90716796875,4.2439453125,NA,7.841648437500001,7.424765624999999,NA,51.1952190289254,42.76190591253681,NA
P3125,629851.1,4561805,0.95345125,NA,NA,3.1187500000000004,NA,NA,7.5981250000000005,NA,NA,43.56128764452947,NA,NA
