LabID,STATE,MUNICIPALITY,p_bray,k,ca,stratum,x,y
1825,MEXICO,Aculco,11.9,0.7,2.6,14,-99.89602827615042,20.172792599379527
1827,MEXICO,Jilotepec,4,0.4,9,14,-99.51199849219616,20.16830102295891
1828,HIDALGO,Ajacuba,2,2,20,14,-99.05161190909313,20.15931787011769
1829,HIDALGO,San Agustin Tlaxiaca,3.9,3,21.4,24,-98.97525510994431,20.15707208190738
1831,HIDALGO,Mineral del Chico,9.8,0.9,5.9,24,-98.82029572343646,20.154826293697074
1835,HIDALGO,Acaxochitlan,0,0.8,17.2,30,-98.2071955420358,20.141351564435237
1837,VERACRUZ,Zozocolco de Hidalgo,6,0.5,3.7,11,-97.5918495724249,20.123385258752783
1839,PUEBLA,Acateno,4,0.5,4,11,-97.20781978847066,20.112156317701253
1841,VERACRUZ,Mart!nez de la Torre,18.9,0.3,10.2,11,-97.05510619017306,20.10766474128064
1843,VERACRUZ,Vega de Alatorre,79.8,1,18.6,7,-96.6710764062188,20.094190012018803
1848,JALISCO,Union de Tula,3,0.7,9.5,19,-104.19671269879598,20.098681588439415
1850,JALISCO,Teocuitatlan de Corona,8.6,1.2,60.1,14,-103.35229633173869,20.109910529490943
1851,MICHOACAN,Ecuandureo,41.7,1.4,19.1,14,-102.27656377902473,20.11440210591156
1852,MICHOACAN,Churintzio,3,1.2,20.3,14,-102.04749338157832,20.11440210591156
1855,GUANAJUATO,yuriria,79.5,0.5,2.8,14,-101.35579061281862,20.11440210591156
1856,GUANAJUATO,Moroleon,8.1,0.7,4.5,14,-101.27943381366984,20.11440210591156
1858,GUANAJUATO,yuriria,12.9,0.4,3.5,14,-101.04811762801316,20.112156317701253
1859,GUANAJUATO,Salvatierra,10.9,0.4,3,14,-100.97176082886438,20.112156317701253
1863,MEXICO,Aculco,32.8,0.9,2.9,14,-99.81967147700162,20.10092737664972
1864,MEXICO,Soyaniquilpan de Juarez,60,0.9,13.4,15,-99.51424428040642,20.094190012018803
1865,HIDALGO,Tula de Allende,14,1,13.2,14,-99.43564169304736,20.094190012018803
1868,HIDALGO,Mineral de la Reforma,17.6,2.7,11.2,24,-98.66982791334912,20.078469494546656
1869,HIDALGO,Tulancingo de Bravo,1,0.6,0.7,15,-98.43851172769249,20.073977918126044
1871,PUEBLA,Ahuazotepec,20,0.5,7.7,30,-98.130838742887,20.067240553495125
1873,PUEBLA,Hueytlalpan,2,0.5,0.7,27,-97.67045215978396,20.053765824233288
1878,VERACRUZ,Tlapacoyan,27.9,0.5,7,11,-97.13370877753212,20.03804530676114
1879,VERACRUZ,Mart!nez de la Torre,2,1.2,14.7,11,-97.05735197838332,20.035799518550835
1881,VERACRUZ,Vega de Alatorre,47.9,2.2,27.8,11,-96.75192478178812,20.024570577499304
1892,JALISCO,Amacueca,8.6,1.1,30.7,14,-103.58136672918508,20.035799518550835
1893,JALISCO,Concepcion de Buenos Aires,9.1,0.4,5.4,15,-103.19733694523084,20.03804530676114
1894,MICHOACAN,Sahuayo,2.1,0.5,56.5,14,-102.73695036212776,20.040291094971447
1897,MICHOACAN,Puruandiro,2,0.4,14.3,14,-101.58710679847528,20.042536883181754
1900,GUANAJUATO,Acambaro,11.9,0.8,2.4,14,-100.66633363226916,20.03804530676114
1902,GUANAJUATO,Jerecuaro,8.9,0.5,18.5,14,-100.43501744661252,20.035799518550835
1903,MICHOACAN,Contepec,59.6,0.7,0.2,14,-100.20594704916611,20.031307942130223
1905,MEXICO,Acambay,51.7,1.4,2.7,14,-100.05098766265829,20.031307942130223
1906,MEXICO,Acambay,6,1.1,2.9,15,-99.97463086350947,20.029062153919917
1910,HIDALGO,Tula de Allende,5.9,0.5,23.6,24,-99.28517388296002,20.017833212868386
1912,HIDALGO,Zapotlan de Juarez,3.9,1,13.7,14,-98.82478729985698,20.008850060027157
1916,HIDALGO,Singuilucan,7,0.6,4.8,24,-98.51711431505151,20.00211269539624
1917,HIDALGO,Cuautepec de Hinojosa,1,0.7,3.2,15,-98.28804391760512,19.997621118975623
1920,PUEBLA,Zacatlan,0,0.3,1.5,30,-98.05672773194848,19.990883754344708
1922,PUEBLA,Huitzilan de Serdan,0,0.5,0.9,27,-97.67269794799422,19.981900601503483
1925,VERACRUZ,Atzalan,19.9,0.4,26.8,11,-97.05959776659355,19.961688507610724
1930,JALISCO,Tomatlan,47.7,0.2,2,19,-105.420667273387,19.93249326087674
1933,JALISCO,Concepcion de Buenos Aires,0,1.3,7,15,-103.27369374437964,19.966180084031336
1934,JALISCO,Concepcion de Buenos Aires,0,0.7,6,15,-103.19733694523084,19.966180084031336
