ID_SAMPLE,SOIL_TYPE,AGRICULTURAL_TYPE,STATE,MUNICIPALITY,X_COORD,Y_COORD,BRIGADE,pH,ELECTRICAL_CONDUCTIVITY,ORGANIC_MATTER,BULK_DENSITY,P,SAND_PERCENT,SILT_PERCENT,CLAY_PERCENT,TEXTURE,TEXTURE_CLASS,N,K,Ca,Mg,Na,CEC,REL_ABS_Na,ESP
3428,Vertisol,Riego,SONORA,Caborca,30.51903,-112.31158,Hermosillo,8.7,1.6,1.1,1.5,8.2,18.9,34,47.1,Arcilla,Arcillosa,0,2.2,30.9,7.5,6.3,26.7,0.3,0.2
3430,yermosol,Riego,SONORA,Altar,30.54932,-111.81367,Hermosillo,8.1,0.5,1.1,1.6,16.4,24.9,50,25.1,Migajon Limoso,Franco limoso y Franco arcillo limoso,0.1,0.8,24.7,2,0.6,17.4,0,0
3431,Xerosol,Riego,SONORA,Trincheras,30.57105,-111.44008,Hermosillo,8.2,1,2.9,1.5,9.2,20.9,48,31.1,Migajon Arcilloso,Franco arcillo arenoso y Franco arcilloso,0.1,1.8,27.4,3.3,1.2,15.7,0.1,0.1
3432,Casta?ozem,Riego,SONORA,Santa Ana,30.59194,-111.06637,Hermosillo,8.3,0.9,2.1,1.6,2.1,56.9,24,19.1,Migajon Arenoso,Franco arenosa y franco,0.1,0.6,31,2.8,1.6,11.2,0.1,0.1
3433,Xerosol,Riego,CHIHUAHUA,Nuevo Casas Grandes,30.73319,-107.94775,Juarez,8.8,0.6,4.2,1.3,7.3,26.2,30,43.8,Arcilla,Arcillosa,0.1,1.2,24,8,2.5,30.2,0.1,0.1
3435,yermosol,Riego,SONORA,Trincheras,30.49912,-111.74718,Hermosillo,8.4,0.2,0.8,1.8,4.1,42.9,40,17.1,Franco,Franco arenosa y franco,0,0.5,10.4,1.3,0.4,10.9,0.1,0
3437,Fluvisol,Riego,SONORA,Trincheras,30.5136,-111.49823,Hermosillo,8.3,0.7,0.8,1.7,4.1,52.9,34,13.1,Migajon Arenoso,Franco arenosa y franco,0,0.5,20.5,2.1,0.7,7.4,0,0.1
3438,Fluvisol,Riego,SONORA,Trincheras,30.45251,-111.61853,Hermosillo,7.6,0.7,1.1,1.6,10.3,42.9,28,29.1,Migajon Arcilloso,Franco arcillo arenoso y Franco arcilloso,0,1.1,12.8,3.4,0.5,16.2,0.1,0
3439,yermosol,Riego,SONORA,Trincheras,30.45612,-111.55632,Hermosillo,8,0.4,1.3,1.5,7.2,18.9,52,29.1,Migajon Arcillo Limoso,Franco limoso y Franco arcillo limoso,0.1,0.9,12,2.9,0.6,13.8,0.1,0
3440,Casta?ozem,Riego,SONORA,Santa Ana,30.47728,-111.18297,Hermosillo,8.4,0.3,1.3,1.7,10.3,42.9,36,21.1,Franco,Franco arenosa y franco,0.1,0.7,36.6,2.6,0.6,11.7,0,0.1
3441,Vertisol,Riego,CHIHUAHUA,Janos,30.61383,-108.25447,Juarez,8.2,0.6,1.6,1.4,12.6,44.2,18,37.8,Migajon Arcilloso,Franco arcillo arenoso y Franco arcilloso,0.1,1.5,20.2,5,0.4,27.1,0,0
3442,Feozem,Riego,CHIHUAHUA,Janos,30.61617,-108.19209,Juarez,8.3,0.6,0.8,1.5,12.6,63.5,12.7,23.8,Migajon Arcillo Arenoso,Franco arcillo arenoso y Franco arcilloso,0.1,0.8,13.9,1.8,0.5,16.6,0,0
3443,Xerosol,Riego,CHIHUAHUA,Casas Grandes,30.62306,-108.00496,Juarez,9,0.7,0.9,1.3,4.2,13.5,32.7,53.8,Arcilla,Arcillosa,0.1,3,44.8,6.2,10.6,50.2,0.3,0.2
3444,Xerosol,Riego,CHIHUAHUA,Casas Grandes,30.62531,-107.94257,Juarez,7.9,1.4,0.8,1.7,11.5,69.5,18.7,11.8,Migajon Arenoso,Franco arenosa y franco,0,1.5,7.9,1.8,0.4,13.9,0.1,0
3445,Casta?ozem,Riego,SONORA,Trincheras,30.41641,-111.30339,Hermosillo,8.1,4,1.1,1.4,5.1,38.9,34,27.1,Franco,Franco arenosa y franco,0.1,0.6,35.6,2.6,2.8,14.4,0.1,0.2
3446,Xerosol,Riego,CHIHUAHUA,Casas Grandes,30.56911,-108.00234,Juarez,7.6,0.5,0.9,1.3,6.3,35.5,26.7,37.8,Migajon Arcilloso,Franco arcillo arenoso y Franco arcilloso,0.1,1,15.3,2.7,0,26.3,0,0
3448,Xerosol,Riego,CHIHUAHUA,Ahumada,30.61657,-106.50523,Juarez,9.2,6.6,1.2,1.4,5.2,21.5,40.7,37.8,Migajon Arcilloso,Franco arcillo arenoso y Franco arcilloso,0.1,2.3,20.6,1.6,22.9,34.4,1.6,0.7
3449,Regosol,Riego,CHIHUAHUA,Ahumada,30.61826,-106.44282,Juarez,8.7,0.9,0.9,1.6,4.1,77.5,7.3,15.2,Migajon arenoso,Franco arenosa y franco,0,0.8,10.8,1.7,1.9,11,0.2,0.2
3450,Xerosol,Riego,CHIHUAHUA,Casas Grandes,30.51739,-107.93741,Juarez,7.7,0.4,1.8,1.3,0,26.2,38,35.8,Migajon Arcilloso,Franco arcillo arenoso y Franco arcilloso,0.1,1.4,56.4,13,59.8,29.8,1.5,2
3452,Xerosol,Riego,CHIHUAHUA,Casas Grandes,30.46342,-107.93483,Juarez,8.4,0.7,2.6,1.3,21,29.5,34.7,35.8,Migajon Arcilloso,Franco arcillo arenoso y Franco arcilloso,0.1,1.7,27.7,5.6,1.2,36,0.1,0
3453,Regosol,Riego,CHIHUAHUA,Ahumada,30.5103,-106.43896,Juarez,8.6,0.7,0.7,1.6,5.1,65.5,13.3,21.2,Migajon arcillo arenoso,Franco arcillo arenoso y Franco arcilloso,0.1,1.1,20.5,2.5,0.7,16,0,0
3454,Regosol,Riego,CHIHUAHUA,Nuevo Casas Grandes,30.40945,-107.93225,Juarez,8,0.8,2.2,1.3,31.5,36.2,34,29.8,Migajon Arcilloso,Franco arcillo arenoso y Franco arcilloso,0.1,S/D,17.6,4.9,0.5,31.9,0,0
3455,Feozem,Riego,CHIHUAHUA,Nuevo Casas Grandes,30.41167,-107.86997,Juarez,8,1.1,0.7,1.4,13.4,71.5,11.3,17.2,Migajon arenoso,Franco arenosa y franco,0.1,0.6,5.7,1.3,1.3,9.9,0.3,0.1
3456,Fluvisol,Riego,CHIHUAHUA,Ahumada,30.45631,-106.43703,Juarez,8.5,1.1,0.9,1.3,2.1,23.5,19.3,57.2,Arcilla,Arcillosa,0.1,1.3,48.8,6.3,4.3,27.4,0.1,0.2
3457,Rendzina,Riego,CHIHUAHUA,Nuevo Casas Grandes,30.35547,-107.92967,Juarez,7.8,0.3,1.3,1.3,23.1,37.5,40.7,21.8,Franco,Franco arenosa y franco,0,0.7,17.1,3.3,0.4,26.5,0,0
3458,Xerosol,Riego,CHIHUAHUA,Ahumada,30.38252,-107.12025,Juarez,8.8,2.8,1.3,1.5,7.3,30.2,16,53.8,Arcilla,Arcillosa,0,1.7,39.8,3.1,22.6,41.8,0.8,0.5
3459,Xerosol,Riego,CHIHUAHUA,Ahumada,30.38444,-107.05797,Juarez,8.5,0.6,0.7,1.6,4.2,63.5,14.7,21.8,Migajon Arcillo Arenoso,Franco arcillo arenoso y Franco arcilloso,0,1.5,25.5,1.7,0.6,18.1,0,0
3460,Xerosol,Riego,CHIHUAHUA,Ahumada,30.33787,-106.80676,Juarez,8.4,2,1.8,1.3,16.8,42.2,24,33.8,Migajon Arcilloso,Franco arcillo arenoso y Franco arcilloso,0.1,3,35.1,3.5,1.1,27,0,0
3462,Xerosol,Riego,CHIHUAHUA,Buenaventura,30.22803,-106.86479,Juarez,NM,S/D,0.7,S/D,NM,63.5,14.7,21.8,Migajon Arcillo Arenoso,Franco arcillo arenoso y Franco arcilloso,NM,NM,NM,NM,NM,NM,NM,NM
3463,yermosol,Riego,SONORA,Opodepe,29.99871,-111.0232,Hermosillo,7.6,0.6,1.6,1.5,8.2,14.9,38,47.1,Arcilla,Arcillosa,0.1,1.6,20.6,6.3,0.7,28.6,0,0
3465,Xerosol,Riego,CHIHUAHUA,Buenaventura,30.1586,-107.36003,Juarez,8.4,1.3,1.6,1.3,16.8,44.2,12,43.8,Arcilla,Arcillosa,0.1,1.6,49.1,4.9,1.9,31.2,0.1,0.1
3466,yermosol,Riego,CHIHUAHUA,Buenaventura,30.17401,-106.86268,Juarez,8.6,0.4,0.4,1.5,4.2,67.5,14.7,17.8,Migajon Arenoso,Franco arenosa y franco,0,0.6,10.6,2.2,0.5,15.1,0.1,0
3467,yermosol,Riego,CHIHUAHUA,Ahumada,30.18626,-106.42741,Juarez,8.8,0.5,1.6,1.3,4.2,24.2,18,57.8,Arcilla,Arcillosa,0.1,1.8,51.7,4.1,3.7,38.4,0.1,0.1
3471,Xerosol,Riego,CHIHUAHUA,Buenaventura,30.10458,-107.3577,Juarez,8.2,2.7,1.2,1.4,33.6,46.2,16,37.8,Arcilla Arenosa,Arcillo arenosa y Arcillo limosa,0,1.7,31.9,2.9,1.6,23.9,0.1,0.1
3472,Xerosol,Riego,CHIHUAHUA,Buenaventura,30.10659,-107.29557,Juarez,8.5,0.7,0.8,1.3,6.3,30.2,16,53.8,Arcilla,Arcillosa,0.1,1.6,46.5,4.8,3,39.4,0.1,0.1
3473,yermosol,Riego,CHIHUAHUA,Buenaventura,30.11999,-106.86057,Juarez,7.6,0.8,1.3,1.4,14.7,38.2,28,33.8,Migajon Arcilloso,Franco arcillo arenoso y Franco arcilloso,0.1,1.6,16.8,3,0.7,24.9,0.1,0
3474,Xerosol,Riego,CHIHUAHUA,Galeana,30.04229,-107.60379,Juarez,8.3,1.1,1.3,1.4,17.8,29.5,42.7,27.8,Migajon Arcilloso,Franco arcillo arenoso y Franco arcilloso,0.1,1.3,20.8,3.4,1.4,27.8,0.1,0.1
