pid,x,y,year,kod_t
P5503,514443.8,4546839.5,1954,103.9
P5504,519010.7,4546239.3,1954,103.36
P5505,520284.2,4546643.7,1954,103.18
P5506,519092.7,4546649.2,1954,103.17
P5507,518338.5,4546703.8,1954,103.35
P5508,518387.7,4547223.1,1954,103.60
P5509,517857.5,4547261.3,1954,103.14
P5510,521858.3,4545348.4,1954,103.46
P5511,526252.7,4541664.5,1954,103.50
P5512,526886.7,4541741.1,1954,103.59
P5514,525635.1,4543047.3,1954,103.55
P5515,525132.2,4543812.5,1954,103.30
P5517,522421.3,4545955.1,1954,103.43
P5518,522563.4,4544872.9,1954,103.42
P5519,522935,4544752.6,1954,103.47
P5520,523317.6,4544309.9,1954,103.66
P5521,523295.8,4543921.8,1954,103.52
P5522,523727.6,4544714.4,1954,103.49
P5523,524017.2,4545058.7,1954,103.51
P5524,524776.9,4544167.8,1954,103.48
P5525,524405.3,4543271.4,1954,103.53
P5526,524296,4542899.8,1954,103.54
P5528,525809.9,4542653.8,1954,103.56
P5529,526203.5,4542489.9,1954,103.57
P5530,526582.6,4543268.7,1954,103.65
P5531,522962.4,4546060.3,1954,103.45
P5532,514703.8,4548284.8,1954,103.7
P5533,514818.6,4549405.2,1954,103.8
P4459,619910.3,4609302,1954,073.55
P4461,620294,4610314.6,1954,073.58
P4463,621983,4609460.2,1954,073.57
P4464,621251.2,4608704.7,1954,073.52
P4465,620163.4,4608728.4,1954,073.53
P4466,622519.3,4608795.8,1954,073.37
P4467,621690.3,4607878,1954,073.50
P4468,620907.1,4607664.4,1954,073.49
P4469,622477.4,4610809,1954,073.43
P4470,623047,4610710.1,1954,073.46
P4472,623126.1,4609404.8,1954,073.45
P4474,624601.5,4610682.5,1954,073.33
P4475,625372.8,4608973.7,1954,073.32
P4476,624423.2,4607973.1,1954,073.39
P4477,625709.1,4607039.5,1954,073.38
P4478,626559.4,4608396.2,1954,073.28
P4479,626630.7,4609116.1,1954,073.27
P4480,627718.4,4608835.2,1954,073.21
P4481,628224.7,4607292.6,1954,073.20
P4482,626745.4,4607466.6,1954,073.29
P4483,626519.9,4606841.7,1954,073.22
P4484,625764.4,4605848.9,1954,073.25
P4485,627160.7,4605880.5,1954,073.24
P4486,629624.9,4606632,1954,073.19
P4487,629660.6,4605769.7,1954,073.18
P4488,623213.1,4606873.3,1954,073.35
P4489,624577.8,4606335.4,1954,073.34
P4491,628363.2,4606576.7,1954,073.31
P4492,627789.6,4604559.4,1954,073.23
P4493,629712,4604701.8,1954,073.14
P4494,631104.3,4605413.8,1954,073.17
P4495,631420.8,4603352.9,1954,073.12
P4499,633695.1,4601667.9,1954,073.9
P4500,632374,4601497.8,1954,073.62
P4501,634094.6,4600722.6,1954,073.5
P4502,632132.8,4600746.3,1954,073.61
P4504,635720.4,4599670.4,1954,073.4
P4506,622726.6,4607735.6,1954,073.36
P5810,629384,4505794,1954,073.15
P5811,624482,4608596,1954,073.41
P5814,626337.2,4607702.8,1954,073.30
P5815,621640.4,4610350.7,1954,073.60
P5816,620379.4,4607896.3,1954,073.48
P5826,650932.8,4625381.3,1954,075.8
