pid,hid,hor_no,top,bottom,hor_code,hor_mk,mak,caco3,humus,total_N,ph_h2o,ph_kcl,ap,ak,Y1,sum_bases,cec,base_sat,bd,Real_density,h_water,porosity,wp,fc,ret_cap,air_cap,coarse_frag,clay,silt,Fine_sand,Coarse_sand,total,sand
P6257,P6257H04,4,75,110,H01-46,IIIC,Geoloski sloj,0,0.45,NA,7.38,6.07,NA,NA,6.6,11.72,12.82,91.41965678627145,NA,NA,1.57,NA,NA,NA,NA,NA,14.44,26.2,6.5,40.74,26.56,100,67.3
P6258,P6258H01,1,0,25,H01-11,Ap,Izmenet horizont A (so obrabotka na pocvata),0,4.73,NA,6.1,5.5,NA,NA,45.03,40,47.88,83.5421888053467,NA,NA,4.78,NA,NA,NA,NA,NA,2.23,50.7,22.5,15.7,11.1,100,26.799999999999997
P6258,P6258H02,2,25,60,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,3.5,NA,6,5.6,NA,NA,31.09,43.24,48.68,88.82497945768283,NA,NA,5.26,NA,NA,NA,NA,NA,4.12,49.7,16.5,20.7,13.1,100,33.8
P6258,P6258H03,3,60,92,H01-43,AC,Preoden horizont od tipicen humusno-akumulativen kon rastresit maticen supstrat,0,2.56,NA,6.15,5.7,NA,NA,22.4,44.65,48.57,91.92917438748198,NA,NA,5.48,NA,NA,NA,NA,NA,2.97,48.4,15.8,21.6,14.2,100,35.8
P6259,P6259H01,1,0,39,H01-11,Ap,Izmenet horizont A (so obrabotka na pocvata),1.74,2.7,NA,7.4,6.8,NA,NA,NA,NA,0,NA,NA,NA,6.41,NA,NA,NA,NA,NA,2.44,48.7,18.5,28.35,4.45,100,32.800000000000004
P6259,P6259H02,2,39,85,H01-43,AC,Preoden horizont od tipicen humusno-akumulativen kon rastresit maticen supstrat,13.42,1.35,NA,7.6,7,NA,NA,NA,NA,0,NA,NA,NA,5.99,NA,NA,NA,NA,NA,1.3,44.7,22,29.49,3.81,100,33.3
P6259,P6259H03,3,85,120,H01-21,C,Rastresit maticen supstrat,1.13,0.92,NA,7.7,7,NA,NA,NA,NA,0,NA,NA,NA,4.94,NA,NA,NA,NA,NA,1,46.2,25,24.35,4.45,100,28.8
P6260,P6260H01,1,0,15,H01-38,(A),Inicijalen slabo razvien humusno-akumulativen  horizont,0,2.63,NA,6.6,6.3,NA,NA,8.78,19.45,20.99,92.663172939495,NA,NA,2.51,NA,NA,NA,NA,NA,21.06,9.7,9.5,46.99,33.81,100.00000000000001,80.80000000000001
P6261,P6261H01,1,0,27,H01-49,P,Antropogen horizont,0,1.28,NA,6.03,4.49,NA,NA,18.5,17.2,20.439999999999998,84.14872798434443,NA,NA,2.85,NA,NA,NA,NA,NA,11.82,31.2,11,38.7,19.1,100.00000000000001,57.800000000000004
P6261,P6261H02,2,27,71,H01-49,P,Antropogen horizont,0,1.53,NA,6.35,4.98,NA,NA,24.1,16.68,20.9,79.8086124401914,NA,NA,2.49,NA,NA,NA,NA,NA,13.14,29.2,10,44.66,16.14,100,60.8
P6261,P6261H03,3,71,100,H01-21,C,Rastresit maticen supstrat,0,0.24,NA,6.23,4.47,NA,NA,19.5,18.84,22.25,84.67415730337079,NA,NA,2.39,NA,NA,NA,NA,NA,9.16,20.2,8.5,47.67,23.63,100,71.3
P6262,P6262H01,1,0,16,H01-40,A/E,Mesovit humusno-akumulativen/eluvijalen horizont,0,2.2,NA,6.43,4.98,NA,NA,13.3,12.24,14.57,84.00823610157858,NA,NA,2.17,NA,NA,NA,NA,NA,10.24,21.2,10,52.38,16.42,100.00000000000001,68.80000000000001
P6262,P6262H02,2,16,56,H01-15,Bt,"Argiluvicen horizont B, zona na akumuliranje na glina promiena od horizont E",0,0.4,NA,6.34,4.81,NA,NA,11.4,21.84,23.83,91.6491817037348,NA,NA,7.14,NA,NA,NA,NA,NA,9.78,37.7,6,47.91,8.39,100,56.3
P6262,P6262H03,3,56,90,H01-21,C,Rastresit maticen supstrat,0,0.06,NA,6.05,4.17,NA,NA,14.4,15,17.52,85.61643835616438,NA,NA,2.92,NA,NA,NA,NA,NA,18.02,23.2,9,43.98,23.82,100,67.8
P6263,P6263H01,1,0,22,H01-39,(A)p,Inicijalen slabo razvien humusno-akumulativen  horizont izmenet so obrabotka na pocvata,0,1.17,NA,6.26,4.3,NA,NA,15.1,9.92,12.56,78.98089171974522,NA,NA,1.09,NA,NA,NA,NA,NA,18.18,6.2,12,46.16,35.64,100,81.8
P6263,P6263H02,2,22,45,H01-45,IIC,Geoloski sloj,0,0.94,NA,6.23,4.38,NA,NA,14.7,9.96,12.530000000000001,79.48922585794094,NA,NA,1.23,NA,NA,NA,NA,NA,17.08,7.2,12,46.86,33.94,100,80.8
P6263,P6263H03,3,45,80,H01-46,IIIC,Geoloski sloj,0,0.99,NA,6.79,4.68,NA,NA,11.7,16.64,18.69,89.03156768325307,NA,NA,2.29,NA,NA,NA,NA,NA,15.6,17.2,23,39.36,20.44,100,59.8
P6263,P6263H04,4,80,110,H01-47,IVC,Geoloski sloj,0,0.45,NA,6.93,5.19,NA,NA,8.7,13.96,15.48,90.18087855297158,NA,NA,2.03,NA,NA,NA,NA,NA,19.24,21.7,19.5,36.68,22.12,100,58.8
P6264,P6264H01,1,0,29,H01-11,Ap,Izmenet horizont A (so obrabotka na pocvata),0,2.14,NA,6.41,5.13,NA,NA,12.8,15.8,18.04,87.58314855875832,NA,NA,2.72,NA,NA,NA,NA,NA,3.34,30.7,18.5,46.58,4.22,100,50.8
P6264,P6264H02,2,29,78,H01-19,(B)v,"Horizont nastanat so hidroliticko raspagjanje na primarnite minerali ""in situ""",0,1.11,NA,7.32,5.8,NA,NA,9.4,25.48,27.12,93.952802359882,NA,NA,4.36,NA,NA,NA,NA,NA,0.4,45.2,16.5,35.03,3.27,100,38.300000000000004
