ProfID,soiltype,X,Y
P0465,Fluvisol,21.20919863,41.22570026
P0466,Fluvisol,21.21487728,41.20418551
P0467,Fluvisol,21.19684415,41.19867056
P0468,Fluvisol,21.19412998,41.17990835
P0469,"Complex of Cambisol, Leptosol and Regosol",21.15886976,41.15393727
P0471,Regosol,21.22435215,41.1609785
P0472,Regosol,21.24674853,41.15956391
P0477,"Complex of Cambisol, Leptosol and Regosol",21.25475401,41.19294679
P0478,"Complex of Cambisol, Leptosol and Regosol",21.25445626,41.21456885
P0484,"Complex of Cambisol, Leptosol and Regosol",21.22398006,41.18468095
P0485,Fluvisol,21.1795273,41.23602519
P0486,Complex of Mollic and Umbric Leptosol,20.83048273,41.97915767
P0490,Complex of Mollic and Umbric Leptosol,20.81804511,41.93125542
P0491,Complex of Mollic and Umbric Leptosol,20.80525991,41.94038253
P0492,Complex of Mollic and Umbric Leptosol,20.80515026,41.9090483
P0493,Complex of Mollic and Umbric Leptosol,20.8273163,41.90496892
P0494,Complex of Mollic and Umbric Leptosol,20.8291484,41.86425512
P0495,Complex of Mollic and Umbric Leptosol,20.78317992,41.8580007
P0496,Complex of Mollic and Umbric Leptosol,20.79285517,41.83072694
P0501,Fluvisol,21.03584231,41.98193339
P0502,Fluvisol,20.9772397,41.98807742
P0504,Fluvisol,20.94428693,41.9660875
P0505,Fluvisol,20.95735447,41.94569905
P0506,Fluvisol,20.94052674,41.94883397
P0508,Fluvisol,20.92353181,41.90880998
P0509,Fluvisol,20.90688471,41.89272541
P0511,Fluvisol,21.01468819,41.98382888
P0512,Fluvisol,21.00177532,41.97957994
P0515,Fluvisol,20.97905944,41.95933712
P0517,Fluvisol,21.00463289,41.94703047
P0522,Fluvisol,20.9625973,41.91059415
P0526,Populated Site,20.98131155,41.84812818
P0530,Fluvisol,20.9365904,41.81915474
P0531,Complex of Chromic Luvisol on saprolite and Regosol,20.88673018,41.78662013
P0532,Complex of Chromic Luvisol on saprolite and Regosol,20.88029674,41.80435196
P0534,Fluvisol,20.89737345,41.81936051
P0535,Populated Site,20.91441243,41.80540893
P0536,Fluvisol,20.90297053,41.83541085
P0541,Fluvisol,20.90708812,41.87709445
P0543,Complex of Mollic and Umbric Leptosol,20.85450587,41.95903074
